loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
3629,Kepler-937 c,2,153.34336400,1482.00,6095.00,,2.670,
3630,Kepler-938 b,1,52.62984170,861.00,5533.00,,2.220,
3631,Kepler-939 b,1,14.87829600,1029.00,5471.00,,1.750,
3632,Kepler-94 b,2,2.50806000,192.97,4781.00,10.84000,3.510,2014-02
3633,Kepler-94 c,2,820.30000000,192.97,4781.00,3126.00000,,2014-02
3634,Kepler-940 b,1,59.62252570,1317.00,5769.00,,3.340,
3635,Kepler-941 b,1,17.42395198,1105.00,5539.00,,3.080,
3636,Kepler-942 b,1,44.96417488,218.00,4861.00,,2.130,
3637,Kepler-943 b,1,49.77014380,1239.00,5612.00,,5.930,
3638,Kepler-944 b,1,43.31677370,1035.00,5409.00,,2.630,
3639,Kepler-945 b,1,31.00338140,1543.00,5718.00,,2.630,
3640,Kepler-946 b,1,11.79162572,918.00,5665.00,,1.930,
3641,Kepler-947 b,1,26.96443170,1188.00,5508.00,,2.280,
3642,Kepler-948 b,1,7.76846622,884.00,5679.00,,1.850,
3643,Kepler-949 b,1,8.68930730,572.00,5403.00,,2.910,
3644,Kepler-95 b,1,11.52310000,451.38,5699.00,13.00000,3.420,2014-02
3645,Kepler-950 b,1,98.71804060,1489.00,5857.00,,8.980,
3646,Kepler-951 b,1,71.52530845,408.00,4834.00,,5.590,
3647,Kepler-952 b,1,130.35469190,1167.00,5730.00,,7.650,
3648,Kepler-953 b,2,88.40655258,240.00,5416.00,,4.210,
3649,Kepler-953 c,2,9.10967112,240.00,5416.00,,1.190,
3650,Kepler-954 b,1,16.78176602,224.00,4990.00,,2.320,
3651,Kepler-955 b,1,14.53244172,637.00,5350.00,,3.130,
3652,Kepler-956 b,1,5.24867263,631.00,6040.00,,3.000,
3653,Kepler-957 b,1,5.90741354,749.00,4963.00,,5.500,
3654,Kepler-958 b,1,9.76788050,467.00,5421.00,,2.060,
3655,Kepler-959 b,1,14.80074836,1003.00,7005.00,,4.380,
3656,Kepler-96 b,1,16.23850000,123.32,5690.00,8.46000,2.670,2014-02
3657,Kepler-960 b,1,3.12686223,298.00,4755.00,,2.290,
3658,Kepler-961 b,1,16.87727414,607.00,5582.00,,2.550,
3659,Kepler-962 b,1,12.05707239,439.00,5478.00,,1.970,
3660,Kepler-963 b,1,9.97683705,786.00,5461.00,,2.660,
3661,Kepler-964 b,1,13.52251060,478.00,5427.00,,2.120,
3662,Kepler-965 b,1,134.25272980,618.00,5886.00,,3.380,
3663,Kepler-966 b,1,99.74762200,773.00,5840.00,,4.130,
3664,Kepler-967 b,2,13.22713379,499.00,5178.00,,2.350,
3665,Kepler-967 c,2,198.71125020,499.00,5178.00,,3.650,
3666,Kepler-968 b,2,3.69298373,312.00,4598.00,,2.000,
3667,Kepler-968 c,2,5.70940492,312.00,4598.00,,1.690,
3668,Kepler-969 b,2,34.17317140,411.00,5214.00,,2.070,
3669,Kepler-969 c,2,1.68293460,411.00,5214.00,,0.990,
3670,Kepler-97 b,2,2.58664000,405.58,5779.00,3.51000,1.480,2014-02
3671,Kepler-97 c,2,789.00000000,405.58,5779.00,344.00000,,2014-02
3672,Kepler-970 b,1,16.73652231,350.00,4511.00,,2.770,
3673,Kepler-971 b,1,9.59070716,345.00,5431.00,,2.130,
3674,Kepler-972 b,1,7.03932553,1304.00,6146.00,,4.650,
3675,Kepler-973 b,1,49.60773310,297.00,5213.00,,1.960,
3676,Kepler-974 b,1,4.19449651,121.00,3687.00,,1.570,
3677,Kepler-975 b,1,1.97034246,404.00,4897.00,,1.480,
3678,Kepler-976 b,1,105.95641480,1020.00,5232.00,,3.960,
3679,Kepler-977 b,1,26.85328322,664.00,5315.00,,2.620,
3680,Kepler-978 b,1,49.62215090,624.00,6002.00,,2.990,
3681,Kepler-979 b,1,8.08801350,606.00,5310.00,,2.720,
3682,Kepler-98 b,1,1.54168000,353.87,5539.00,3.55000,1.990,2014-02
3683,Kepler-980 b,1,11.55102504,804.00,5935.00,,2.670,
3684,Kepler-981 b,1,4.46975774,913.00,5718.00,,2.310,
